Total Study Time:4691
Format: ($startTime, $timeSustained, $processId, $taskId, $(verification or solution)
(0, 5, 1, 0, s)
(0, 187, 2, 13, s)
(0, 565, 3, 26, s)
(0, 782, 4, 39, s)
(5, 7, 1, 1, s)
(12, 12, 1, 2, s)
(24, 18, 1, 3, s)
(42, 18, 1, 13, v)
(60, 27, 1, 4, s)
(87, 38, 1, 5, s)
(125, 51, 1, 6, s)
(176, 56, 1, 26, v)
(187, 137, 2, 11, s)
(232, 13, 1, 11, v)
(245, 67, 1, 7, s)
(312, 84, 1, 8, s)
(324, 161, 2, 12, s)
(396, 16, 1, 12, v)
(412, 78, 1, 39, v)
(485, 215, 2, 14, s)
(490, 21, 1, 14, v)
(511, 104, 1, 9, s)
(565, 608, 3, 27, s)
(615, 60, 1, 27, v)
(675, 126, 1, 10, s)
(700, 245, 2, 15, s)
(782, 743, 4, 38, s)
(801, 24, 1, 15, v)
(825, 74, 1, 38, v)
(899, 304, 1, 16, s)
(945, 12, 2, 10, v)
(957, 30, 2, 16, v)
(987, 10, 2, 9, v)
(997, 311, 2, 17, s)
(1173, 653, 3, 28, s)
(1203, 31, 1, 17, v)
(1234, 65, 1, 28, v)
(1299, 381, 1, 18, s)
(1308, 8, 2, 8, v)
(1316, 38, 2, 18, v)
(1354, 385, 2, 19, s)
(1525, 705, 4, 37, s)
(1680, 38, 1, 19, v)
(1718, 70, 1, 37, v)
(1739, 6, 2, 7, v)
(1745, 425, 2, 20, s)
(1788, 42, 1, 20, v)
(1826, 748, 3, 30, s)
(1830, 74, 1, 30, v)
(1904, 513, 1, 21, s)
(2170, 5, 2, 6, v)
(2175, 51, 2, 21, v)
(2226, 3, 2, 5, v)
(2229, 511, 2, 22, s)
(2230, 668, 4, 36, s)
(2417, 51, 1, 22, v)
(2468, 66, 1, 36, v)
(2534, 612, 1, 23, s)
(2574, 797, 3, 31, s)
(2740, 2, 2, 4, v)
(2742, 61, 2, 23, v)
(2803, 79, 2, 31, v)
(2882, 1, 2, 3, v)
(2883, 605, 2, 24, s)
(2898, 632, 4, 35, s)
(3146, 60, 1, 24, v)
(3206, 63, 1, 35, v)
(3269, 720, 1, 25, s)
(3371, 848, 3, 32, s)
(3488, 1, 2, 2, v)
(3489, 72, 2, 25, v)
(3530, 597, 4, 34, s)
(3561, 59, 2, 34, v)
(3620, 0, 2, 1, v)
(3621, 84, 2, 32, v)
(3705, 875, 2, 29, s)
(4127, 563, 4, 33, s)
(4219, 56, 3, 33, v)
(4275, 87, 3, 29, v)
(4362, 0, 3, 0, v)
Process 1
(0, s) (1, s) (2, s) (3, s) (13, v) (4, s) (5, s) (6, s) (26, v) (11, v) (7, s) (8, s) (12, v) (39, v) (14, v) (9, s) (27, v) (10, s) (15, v) (38, v) (16, s) (17, v) (28, v) (18, s) (19, v) (37, v) (20, v) (30, v) (21, s) (22, v) (36, v) (23, s) (24, v) (35, v) (25, s) 
Process 2
(13, s) (11, s) (12, s) (14, s) (15, s) (10, v) (16, v) (9, v) (17, s) (8, v) (18, v) (19, s) (7, v) (20, s) (6, v) (21, v) (5, v) (22, s) (4, v) (23, v) (31, v) (3, v) (24, s) (2, v) (25, v) (34, v) (1, v) (32, v) (29, s) 
Process 3
(26, s) (27, s) (28, s) (30, s) (31, s) (32, s) (33, v) (29, v) (0, v) 
Process 4
(39, s) (38, s) (37, s) (36, s) (35, s) (34, s) (33, s) 
